Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740380V;Ecole primaire publique François Frédéric Sisahaye;Ecole;Public;243 chemin Mare à Martin;MARE A MARTIN;97433 SALAZIE;97433;97421;Salazie;974;28;04;1;1;;;;0692469130;;;ce.9740380V@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974021400115;;;-21.01943035475795, 55.495682707500215;SANS OBJET;La Réunion;La Réunion;La Réunion;343664.9;7674965.7;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.01943035475795;55.495682707500215;Numéro de rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740046G;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740391G;Ecole primaire publique Myriam Maillot;Ecole;Public;750 route départementale 52;CASABOIS;97433 SALAZIE;97433;97421;Salazie;974;28;04;1;1;;;;0262477124;;;ce.9740391G@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974021400107;;;-21.030950443848393, 55.51003590929916;SANS OBJET;La Réunion;La Réunion;La Réunion;345168.7;7673704.4;EPSG:2975;Circonscription d'inspection du 1er degré de Bras-Panon;-21.030950443848393;55.51003590929916;Rue;1968-09-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740046G;;;9741305A;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740392H;Ecole primaire publique Bois Court;Ecole;Public;Rue Raphaël Douyère;BOIS COURT;97418 LE TAMPON;97418;97422;Le Tampon;974;28;04;1;1;;;;0262275484;;;ce.9740392H@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974022200118;;;-21.206216452019333, 55.544769919233026;SANS OBJET;La Réunion;La Réunion;La Réunion;348956.3;7654335.6;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.206216452019333;55.544769919233026;Rue;1968-09-13;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740405X;Ecole élémentaire publique Antoine Lucas;Ecole;Public;3 rue des Abeilles;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;0;1;;;;0262270579;;;ce.9740405X@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200183;;;-21.288951251472184, 55.52169946923139;SANS OBJET;La Réunion;La Réunion;La Réunion;346647.0;7645154.4;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.288951251472184;55.52169946923139;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741581A;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740414G;Ecole primaire publique Paul Cazal;Ecole;Public;9 rue Josemont Lauret;BOURG MURAT;97418 LE TAMPON;97418;97422;Le Tampon;974;28;04;1;1;;;;0262275076;;;ce.9740414G@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974022200340;;;-21.202383088613328, 55.580261831323966;SANS OBJET;La Réunion;La Réunion;La Réunion;352636.9;7654793.4;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 2;-21.202383088613328;55.580261831323966;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740620F;;;9741200L;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740420N;Ecole primaire publique Grande Ravine;Ecole;Public;104 route Hubert Delisle;Ecole du cable;97426 LES TROIS BASSINS;97426;97423;Les Trois-Bassins;974;28;04;1;1;;;;0262248024;;;ce.9740420N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974023000046;;;-21.10771031035263, 55.302465529712016;SANS OBJET;La Réunion;La Réunion;La Réunion;323684.9;7664990.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.10771031035263;55.302465529712016;Rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740035V;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740424T;Ecole primaire publique Albert Montlivet;Ecole;Public;5 rue Léon Dierx;RAV.DES CHEVRES LES HTS;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;1;1;;;;0262534119;;;ce.9740424T@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974018000167;;;-20.909979324149127, 55.56667371488506;SANS OBJET;La Réunion;La Réunion;La Réunion;350935.3;7687149.6;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.909979324149127;55.56667371488506;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740432B;Ecole primaire publique Bois Blanc;Ecole;Public;Route Nationale;BOIS BLANC;97439 STE ROSE;97439;97419;Sainte-Rose;974;28;04;1;1;;;;0262511598;;;ce.9740432B@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974019800086;;;-21.186215356703695, 55.82390971604773;SANS OBJET;La Réunion;La Réunion;La Réunion;377916.2;7656790.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.186215356703695;55.82390971604773;Rue;1968-09-10;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741233X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740435E;Ecole primaire publique Antoine Bertin;Ecole;Public;3 rue Belle eau;;97441 STE SUZANNE;97441;97420;Sainte-Suzanne;974;28;04;1;1;;;;0262522458;;;ce.9740435E@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974020600038;;;-20.91215432678734, 55.61225304590247;SANS OBJET;La Réunion;La Réunion;La Réunion;355678.3;7686950.5;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.91215432678734;55.61225304590247;Rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741270M;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740439J;Ecole élémentaire publique des Benjoins;Ecole;Public;58 route du Touring Hôtel;;97426 LES TROIS BASSINS;97426;97423;Les Trois-Bassins;974;28;04;0;1;;;;0262248117;;;ce.9740439J@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP;;21974023000061;;;-21.105706006585812, 55.292395886626714;SANS OBJET;La Réunion;La Réunion;La Réunion;322636.4;7665201.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.105706006585812;55.292395886626714;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740035V;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740440K;Ecole maternelle publique Petit Pont;Ecole;Public;25 allée des Ecoliers;;97426 LES TROIS BASSINS;97426;97423;Les Trois-Bassins;974;28;04;1;0;;;;0262248397;;;ce.9740440K@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974023000079;;;-21.104631219838563, 55.29168723123065;SANS OBJET;La Réunion;La Réunion;La Réunion;322561.5;7665319.8;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.104631219838563;55.29168723123065;Numéro de rue;1968-09-11;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740035V;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740449V;Ecole primaire publique Ilet à Cordes;Ecole;Public;8 chemin Sacré Coeur;;97413 CILAOS;97413;97424;Cilaos;974;28;04;1;1;;;;0262350609;;;ce.9740449V@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974024800048;;;-21.148289087236847, 55.43800566864431;SANS OBJET;La Réunion;La Réunion;La Réunion;337809.7;7660642.9;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.148289087236847;55.43800566864431;Numéro de rue;1968-09-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740455B;Ecole élémentaire publique Bouvet B;Ecole;Public;35 rue Bouvet;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262211571;;;ce.9740455B@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974011500387;;;-20.888190349745106, 55.46251592883253;SANS OBJET;La Réunion;La Réunion;La Réunion;340078.0;7689461.4;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.888190349745106;55.46251592883253;Numéro de rue;1969-11-05;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740081V;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740461H;Ecole élémentaire publique Charles Vendomèle;Ecole;Public;2 rue de Grenoble;;97420 LE PORT;97420;97407;Le Port;974;28;04;0;1;;;;0262421509;;;ce.9740461H@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974007300214;;;-20.94553236156691, 55.293933117523586;SANS OBJET;La Réunion;La Réunion;La Réunion;322606.6;7682936.1;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.94553236156691;55.293933117523586;Numéro de rue;1969-11-05;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740491R;Ecole primaire publique Maxime Laope;Ecole;Public;2 chemin du Finistère;LA BRETAGNE;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262525236;;;ce.9740491R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500437;;;-20.9381048881988, 55.485051281169405;SANS OBJET;La Réunion;La Réunion;La Réunion;342474.6;7683958.1;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.9381048881988;55.485051281169405;Numéro de rue;1970-06-29;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741260B;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740519W;Ecole catholique Notre Dame de la Paix;Ecole;Privé;45 avenue Desbassyns;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262281494;;;ce.9740519w@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;31568262500019;;;-20.889501600046124, 55.4803536582304;CONTRAT D'ASSOCIATION TOUTES CLASSES;La Réunion;La Réunion;La Réunion;341935.1;7689333.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.889501600046124;55.4803536582304;Numéro de rue;1968-10-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;30;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740540U;Ecole élémentaire publique Jean Macé;Ecole;Public;55 rue Samuel Treuthard;;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;0;1;;;;0262261222;;;ce.9740540U@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900329;;;-21.287132108544274, 55.41229779188327;SANS OBJET;La Réunion;La Réunion;La Réunion;335294.0;7645245.5;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.287132108544274;55.41229779188327;Numéro de rue;1971-04-30;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740560R;Ecole élémentaire publique Younousse ISSA;Ecole;Public;90 chemin Gallias Les Hauts;PETIT ST PIERRE;97437 ST BENOIT;97437;97410;Saint-Benoît;974;28;04;0;1;;;;0262510338;;;ce.9740560R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974010700228;;;-21.092197589420284, 55.74425082744122;SANS OBJET;La Réunion;La Réunion;La Réunion;369564.0;7667134.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.092197589420284;55.74425082744122;Rue;1971-07-21;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741233X;;;9740060X;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740583R;Ecole primaire publique Bellepierre;Ecole;Public;12 allée des Saphirs;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;1;;;;0262210588;;;ce.9740583R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974011501203;;;-20.894798962466503, 55.446613743439315;SANS OBJET;La Réunion;La Réunion;La Réunion;338430.7;7688713.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.894798962466503;55.446613743439315;Numéro de rue;1972-06-07;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740589X;Ecole maternelle publique Alice Péverelly;Ecole;Public;20 rue Amiral Lacaze;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;0;;;;0262250160;;;ce.9740589X@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974016400328;;;-21.34273058186065, 55.47979029996383;SANS OBJET;La Réunion;La Réunion;La Réunion;342356.2;7639159.4;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.34273058186065;55.47979029996383;Numéro de rue;1972-06-09;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740811N;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740590Y;Ecole élémentaire publique les Combavas;Ecole;Public;50 rue des Flamboyants;La Plaine;97411 ST PAUL;97411;97415;Saint-Paul;974;28;04;0;1;;;;0262440039;;;ce.9740590Y@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600498;;;-20.97993032111157, 55.32704943347047;SANS OBJET;La Réunion;La Réunion;La Réunion;326090.5;7679164.3;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 3;-20.97993032111157;55.32704943347047;Numéro de rue;1972-07-19;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740093H;;;9741548P;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740606R;Ecole élémentaire publique Etang Cambuston;Ecole;Public;63 ruelle des Orchidées;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;0;1;;;;0262460452;;;ce.9740606R@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974009900128;;;-20.932378977563843, 55.65145803876474;SANS OBJET;La Réunion;La Réunion;La Réunion;359774.9;7684746.5;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.932378977563843;55.65145803876474;Numéro de rue;1973-04-25;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740703W;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740608T;Ecole maternelle publique Stella;Ecole;Public;34 allée des Flamboyants;;97424 ST LEU;97424;97413;Saint-Leu;974;28;04;1;0;;;;0262343749;;;ce.9740608T@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974013100046;;;-21.200146119958212, 55.29650302291269;SANS OBJET;La Réunion;La Réunion;La Réunion;323175.3;7654750.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Leu;-21.200146119958212;55.29650302291269;Numéro de rue;1973-04-25;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740546A;;;9740451X;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740613Y;Ecole maternelle publique 12ème km;Ecole;Public;30 rue Bigey;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;0;;;;0262272625;;;ce.9740613Y@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974022200241;;;-21.268960348123404, 55.525031227123776;SANS OBJET;La Réunion;La Réunion;La Réunion;346972.0;7647370.7;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.268960348123404;55.525031227123776;Numéro de rue;1973-04-25;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741581A;;;9740057U;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740627N;Ecole maternelle publique les Cytises;Ecole;Public;852 rue de Cambuston;;97440 ST ANDRE;97440;97409;Saint-André;974;28;04;1;0;;;;0262460779;;;ce.9740627N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974009900110;;;-20.933604644644717, 55.64994412845678;SANS OBJET;La Réunion;La Réunion;La Réunion;359618.6;7684609.5;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Suzanne;-20.933604644644717;55.64994412845678;Numéro de rue;1974-05-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740703W;;;9741539E;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9740629R;Ecole maternelle publique les Flamboyants;Ecole;Public;157 rue Jules Auber;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;0;;;;0262211382;;;ce.9740629R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500726;;;-20.883471779201837, 55.45464855975646;SANS OBJET;La Réunion;La Réunion;La Réunion;339254.5;7689975.9;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.883471779201837;55.45464855975646;Numéro de rue;1974-05-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740081V;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740631T;Ecole primaire publique de Grand Canal;Ecole;Public;79 chemin Grand Canal;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262525269;;;ce.9740631T@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500742;;;-20.908758279773718, 55.4961000707285;SANS OBJET;La Réunion;La Réunion;La Réunion;343593.2;7687217.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.908758279773718;55.4961000707285;Numéro de rue;1974-05-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741260B;;;9740062Z;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740635X;Ecole maternelle publique Elsa Triolet;Ecole;Public;447 rue de cayenne;RAVINE BLANCHE;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;0;;;;0262250699;;;ce.9740635X@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974016400575;;;-21.338148797306676, 55.46624133570219;SANS OBJET;La Réunion;La Réunion;La Réunion;340946.0;7639653.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.338148797306676;55.46624133570219;Numéro de rue;1974-05-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740576H;;;9740056T;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740662B;Ecole maternelle publique Claude Debussy;Ecole;Public;16 rue Frédéric Chopin;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;0;;;;0262297072;;;ce.9740662B@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011500338;;;-20.887934111674863, 55.48053476649677;SANS OBJET;La Réunion;La Réunion;La Réunion;341952.3;7689507.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.887934111674863;55.48053476649677;Numéro de rue;1988-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740665E;Ecole maternelle publique Saint-Bernard;Ecole;Public;61 rue du Père Raimbault;;97417 ST DENIS;97417;97411;Saint-Denis;974;28;04;1;0;;;;0262236244;;;ce.9740665E@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974011500379;;;-20.910266423091787, 55.40020583560292;SANS OBJET;La Réunion;La Réunion;La Réunion;333619.9;7686954.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.910266423091787;55.40020583560292;Numéro de rue;1975-04-24;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740682Y;Ecole maternelle publique Eugène Dayot;Ecole;Public;15 rue Maurice Thorez;RIVIERE DES GALETS;97420 LE PORT;97420;97407;Le Port;974;28;04;1;0;;;;0262420745;;;ce.9740682Y@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300107;;;-20.96062482673043, 55.320282782848906;SANS OBJET;La Réunion;La Réunion;La Réunion;325364.5;7681294.2;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.96062482673043;55.320282782848906;Numéro de rue;1975-09-17;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740684A;Ecole maternelle publique Petite Ile;Ecole;Public;94 rue de la République;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;0;;;;0262411980;;;ce.9740684A@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974011500577;;;-20.882962422556126, 55.445990606778054;SANS OBJET;La Réunion;La Réunion;La Réunion;338353.2;7690023.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 5;-20.882962422556126;55.445990606778054;Numéro de rue;1980-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740595D;;;9741067S;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740689F;Ecole maternelle la Source;Ecole;Public;60 boulevard de la Source;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;0;;;;0262213412;;;ce.9740689F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011501005;;;-20.89314942575717, 55.452681790006146;SANS OBJET;La Réunion;La Réunion;La Réunion;339060.2;7688902.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.89314942575717;55.452681790006146;Numéro de rue;1975-09-17;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740081V;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740694L;Ecole élémentaire publique Duparc;Ecole;Public;11 rue Marcel Goulette;DUPARC;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;0;1;;;;0262535390;;;ce.9740694L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974018000092;;;-20.899658152435073, 55.52137234165463;SANS OBJET;La Réunion;La Réunion;La Réunion;346212.7;7688249.4;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;-20.899658152435073;55.52137234165463;Numéro de rue;1975-09-17;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740921H;;;9740088C;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
